数据日期,DB_TIME,DB_TPS,DB_QPS
2017/12/23,0.57,22.89,188.01
2017/12/24,0.5,20.71,170.44
2017/12/25,1.91,52.89,462.37
2017/12/26,1.87,45.42,387.09
2017/12/27,1.97,51.04,442.05
2017/12/28,1.73,47.34,407.62
2017/12/29,1.84,48.96,441.27
2017/12/30,0.82,39.58,314.67
2017/12/31,0.74,25.74,205.08
2018/1/1,0.53,22.2,175.79
2018/1/2,2.24,69.89,542.57
2018/1/3,1.9,58.43,491.0
2018/1/4,1.61,46.07,385.98
2018/1/5,1.71,55.95,469.23
2018/1/6,0.57,23.38,191.04
2018/1/7,0.53,28.98,254.82
2018/1/8,1.75,46.86,414.54
2018/1/9,1.74,48.41,394.18
2018/1/10,1.74,55.04,462.38
2018/1/11,1.51,43.54,370.18
2018/1/12,1.52,38.22,331.94
2018/1/13,0.51,18.73,157.77
2018/1/14,0.47,16.39,139.14
2018/1/15,1.84,49.78,448.59
2018/1/16,1.5,47.66,408.29
2018/1/17,1.52,38.54,343.94
2018/1/18,1.5,38.55,322.19
2018/1/19,1.7,45.76,392.16
2018/1/20,0.81,35.7,305.07
2018/1/21,0.45,17.2,145.55
2018/1/22,1.54,40.05,363.61
2018/1/23,2.05,73.72,651.22
2018/1/24,1.48,43.02,375.77
2018/1/25,1.58,45.19,368.34
2018/1/26,1.44,35.0,307.36
2018/1/27,0.48,18.08,154.47
2018/1/28,0.43,15.61,133.58
2018/1/29,1.7,40.5,377.77
2018/1/30,0.95,42.46,346.06
2018/1/31,1.95,39.88,360.4
2018/2/1,2.04,65.82,554.66
2018/2/2,0.97,43.29,354.36
2018/2/3,0.51,21.19,179.52
2018/2/4,0.48,18.3,154.81
2018/2/5,0.97,44.85,364.45
2018/2/6,1.43,46.76,393.7
2018/2/7,1.72,48.49,428.99
2018/2/8,1.51,48.63,408.42
2018/2/9,1.67,58.3,487.38
2018/2/10,0.61,26.47,216.94
2018/2/11,1.08,33.03,273.0
2018/2/12,2.0,57.13,504.82
2018/2/13,2.04,68.81,590.74
2018/2/14,1.63,64.9,513.52
2018/2/15,0.4,16.75,142.35
2018/2/16,0.27,9.34,80.7
2018/2/17,0.26,8.45,74.75
2018/2/18,0.29,9.49,83.51
2018/2/19,0.31,11.07,95.65
2018/2/20,0.38,14.13,120.53
2018/2/21,0.5,21.42,179.8
2018/2/22,2.15,68.63,561.86
2018/2/23,1.84,64.89,553.94
2018/2/24,1.11,37.62,317.12
2018/2/25,0.54,23.66,197.97
2018/2/26,2.21,60.96,499.98
2018/2/27,1.58,52.7,459.67
2018/2/28,1.72,53.57,453.12
2018/3/1,2.31,76.51,648.42
2018/3/2,1.81,50.07,423.48
2018/3/3,0.57,24.35,204.4
2018/3/4,0.72,29.51,260.45
2018/3/5,1.9,58.65,486.76
2018/3/6,1.73,55.06,468.39
2018/3/7,1.59,43.58,383.75
2018/3/8,1.52,41.41,360.9
2018/3/9,0.96,40.96,333.09
2018/3/10,0.61,23.14,194.46
2018/3/11,0.46,18.35,155.0
2018/3/12,1.71,47.76,434.84
2018/3/13,1.59,49.24,437.36
2018/3/14,1.5,44.79,389.33
2018/3/15,1.68,54.55,473.36
2018/3/16,1.41,41.19,356.17
2018/3/17,0.52,18.22,156.69
2018/3/18,0.44,16.26,139.94
2018/3/19,2.38,47.73,410.74
2018/3/20,2.39,58.25,507.71
2018/3/21,2.7,44.13,377.51
2018/3/22,1.4,37.27,329.59
2018/3/23,0.97,40.32,324.88
2018/3/24,0.49,18.36,158.34
2018/3/25,0.42,15.92,136.53
2018/3/26,1.8,42.45,386.77
2018/3/27,1.76,47.87,426.5
2018/3/28,1.58,37.78,329.54
2018/3/29,1.73,39.38,356.43
2018/3/30,1.79,46.95,422.02
2018/3/31,0.67,30.75,255.94
2018/4/1,0.54,22.55,186.98
2018/4/2,2.15,63.33,512.49
2018/4/3,0.73,39.13,284.11
2018/4/4,1.79,43.87,376.36
2018/4/5,0.41,13.25,116.53
2018/4/6,0.37,12.65,110.09
2018/4/7,0.4,13.42,117.02
2018/4/8,0.98,30.36,270.8
2018/4/9,2.05,46.3,420.06
2018/4/10,1.79,56.84,491.69
2018/4/11,1.48,42.11,375.59
2018/4/12,1.47,37.42,331.33
2018/4/13,1.45,41.22,364.56
2018/4/14,0.47,18.4,159.51
2018/4/15,0.46,16.65,143.42
2018/4/16,2.07,48.22,439.25
2018/4/17,1.66,46.88,424.49
2018/4/18,1.74,42.16,380.29
2018/4/19,1.64,42.92,383.6
2018/4/20,1.61,44.4,380.29
2018/4/21,0.55,28.11,213.77
2018/4/22,0.44,15.21,132.41
2018/4/23,1.93,43.34,403.49
2018/4/24,1.66,46.26,405.23
2018/4/25,1.62,44.02,390.52
2018/4/26,1.62,38.91,340.37
2018/4/27,1.83,50.71,432.26
2018/4/28,1.13,38.41,323.55
2018/4/29,0.41,15.3,130.74
2018/4/30,0.46,14.13,120.55
2018/5/1,0.43,16.23,136.3
2018/5/2,2.32,61.11,496.53
2018/5/3,1.85,50.11,436.93
2018/5/4,0.85,36.75,272.74
2018/5/5,0.49,19.4,166.49
2018/5/6,0.46,17.97,153.6
2018/5/7,2.09,53.76,449.47
2018/5/8,1.5,44.5,387.28
2018/5/9,1.58,37.63,322.13
2018/5/10,1.65,45.1,394.99
2018/5/11,1.87,41.86,376.52
2018/5/12,0.63,18.04,161.79
2018/5/13,0.48,15.5,139.94
2018/5/14,1.9,43.28,405.25
2018/5/15,1.9,49.13,437.45
2018/5/16,1.8,38.27,355.99
2018/5/17,1.73,41.04,376.65
2018/5/18,1.69,40.93,362.49
