数据日期,DB_TIME,DB_TPS,DB_QPS
2017/4/20,10.99,241.17,11324.05
2017/4/20,0.62,40.06,316.03
2017/4/20,1.24,34.26,291.99
2017/4/21,10.87,236.36,11019.35
2017/4/21,0.59,38.74,306.08
2017/4/21,1.12,34.87,307.18
2017/4/22,9.14,207.9,8617.59
2017/4/22,0.52,33.5,269.56
2017/4/22,0.36,13.32,109.83
2017/4/23,9.22,210.14,8609.58
2017/4/23,0.5,31.91,259.67
2017/4/23,0.34,11.91,98.22
2017/4/24,11.8,258.2,11688.47
2017/4/24,0.61,39.2,308.01
2017/4/24,1.5,30.97,289.6
2017/4/25,12.14,255.77,11664.53
2017/4/25,0.6,38.01,299.76
2017/4/25,1.49,36.11,300.76
2017/4/26,13.32,257.05,11393.48
2017/4/26,0.61,38.51,302.8
2017/4/26,1.27,30.24,273.96
2017/4/27,12.38,265.87,11517.04
2017/4/27,0.62,40.12,313.5
2017/4/27,1.3,30.17,276.3
2017/4/28,12.8,268.94,11519.65
2017/4/28,0.66,42.97,336.89
2017/4/28,1.19,31.39,264.87
2017/4/29,10.4,219.91,8329.91
2017/4/29,0.52,33.23,271.6
2017/4/29,0.45,21.92,177.55
2017/4/30,9.01,210.65,7708.57
2017/4/30,0.48,29.81,246.45
2017/4/30,0.35,12.75,103.58
2017/5/1,8.6,217.77,8051.34
2017/5/1,0.47,28.6,237.32
2017/5/1,0.35,13.29,106.68
2017/5/2,12.62,266.17,11726.24
2017/5/2,0.61,39.25,311.73
2017/5/2,2.09,46.61,379.24
2017/5/3,11.74,253.63,11300.91
2017/5/3,0.57,35.99,286.46
2017/5/3,1.21,32.46,291.89
2017/5/4,12.19,257.6,11544.67
2017/5/4,0.56,35.57,283.18
2017/5/4,1.19,31.09,273.44
2017/5/5,12.03,255.13,11540.41
2017/5/5,0.58,36.76,290.51
2017/5/5,1.18,41.22,305.97
2017/5/6,9.95,217.32,9327.62
2017/5/6,0.51,30.85,251.53
2017/5/6,0.36,11.76,96.52
2017/5/7,9.86,216.74,9192.87
2017/5/7,0.49,30.98,252.99
2017/5/7,0.32,11.26,91.74
2017/5/8,12.52,266.42,12436.72
2017/5/8,0.58,37.33,294.35
2017/5/8,1.22,29.73,268.43
2017/5/9,12.8,265.06,12283.83
2017/5/9,0.57,37.15,292.92
2017/5/9,1.05,27.01,246.21
2017/5/10,12.62,270.86,12610.85
2017/5/10,0.59,37.89,298.94
2017/5/10,1.1,33.23,269.73
2017/5/11,11.35,246.95,11682.18
2017/5/11,0.55,35.5,282.68
2017/5/11,1.16,26.51,238.54
2017/5/12,11.72,232.76,11231.2
2017/5/12,0.55,35.67,283.92
2017/5/12,1,29.55,248.16
2017/5/13,9.14,201.31,8802.35
2017/5/13,0.48,30.57,250.29
2017/5/13,0.36,13.11,108.23
2017/5/14,9,200.71,8517.08
2017/5/14,0.48,30.3,247.43
2017/5/14,0.33,11.58,95.2
2017/5/15,11.2,240.64,11885.24
2017/5/15,0.59,39.38,311
2017/5/15,1.43,53.48,354.69
2017/5/16,10.82,230.18,11284.23
2017/5/16,0.61,40.23,318.45
2017/5/16,1.28,34.43,300.68
2017/5/17,10.64,223.96,11018.16
2017/5/17,0.58,37.41,295.67
2017/5/17,1.1,31.38,285.72
2017/5/18,11.68,224.15,10823.15
2017/5/18,0.57,36.42,287.89
2017/5/18,1.05,28.5,257.58
2017/5/19,10.53,234.63,11105.14
2017/5/19,0.57,38.44,301.99
2017/5/19,1.21,43.3,293.71
2017/5/20,9.67,221.41,9259.05
2017/5/20,0.49,33.07,267.97
2017/5/20,0.37,13.27,108.45
2017/5/21,9.19,209.7,8756.17
2017/5/21,0.47,31.05,253.32
2017/5/21,0.34,11.59,94.94
2017/5/22,11.64,255.64,11806.73
2017/5/22,0.56,36.39,288.13
2017/5/22,1.29,30.17,268.61
2017/5/23,11.1,249.53,11475.52
2017/5/23,0.55,37.05,292.95
2017/5/23,1.24,35.67,309.9
2017/5/24,11.27,250.74,11433.73
2017/5/24,0.56,36.53,288.83
2017/5/24,1.21,30.09,269.57
2017/5/25,13.06,253.87,11402.25
2017/5/25,0.56,37.25,293.56
2017/5/25,1.39,64.31,370.42
2017/5/26,12.35,255.84,11282.18
2017/5/26,0.55,37.4,294.01
2017/5/26,1.1,30.49,269.63
2017/5/27,13.26,256.42,10949.31
2017/5/27,0.57,37.62,295.54
2017/5/27,0.63,21.27,174.37
2017/5/28,9.98,218.22,8342.28
2017/5/28,0.46,28.7,235.71
2017/5/28,0.31,9.68,79.48
2017/5/29,8.7,208.7,7824.62
2017/5/29,0.44,28.05,231.37
2017/5/29,0.28,8.94,73.44
2017/5/30,8.01,190.42,7312.62
2017/5/30,0.42,26.36,220.55
2017/5/30,0.28,8.93,73.59
2017/5/31,12.94,261.11,11272.58
2017/5/31,0.56,37.8,298.65
2017/5/31,1.61,42.26,332.4
2017/6/1,13.43,263.4,11495.33
2017/6/1,1.69,52.73,424.27
2017/6/1,0.54,36.16,287.05
2017/6/2,13.55,261.79,11620.83
2017/6/2,0.56,35.86,283.34
2017/6/2,1.32,38.44,308.29
2017/6/3,11.05,232.44,9447.34
2017/6/3,0.46,30.48,248.5
2017/6/3,0.41,14.79,118.4
2017/6/4,11.11,228.2,9227.1
2017/6/4,0.52,29.42,240.95
2017/6/4,0.37,13.15,105.2
2017/6/5,13.61,269.93,12097.22
2017/6/5,0.61,35.04,276.79
2017/6/5,1.37,33.71,287.39
2017/6/6,13.91,272.4,12464.95
2017/6/6,1.34,34.4,298.05
2017/6/6,0.61,37.32,293.85
2017/6/7,13.42,259.72,12140.9
2017/6/7,0.61,35.48,280.51
2017/6/7,1.24,31.82,274.65
2017/6/8,13.7,264.56,12232
2017/6/8,1.23,29.3,262.14
2017/6/8,0.61,35.12,277.59
2017/6/9,14.43,269.33,12685.67
2017/6/9,0.62,36.6,288.08
2017/6/9,1.5,58.85,355.93
2017/6/10,12.24,236.51,10301.98
2017/6/10,0.53,31.03,253.56
2017/6/10,0.39,12.98,104.97
2017/6/11,8.8,209.8,9372.5
2017/6/11,0.5,26.59,232.89
2017/6/11,0.34,11.24,91.51
2017/6/12,11.07,246.63,12269.48
2017/6/12,0.53,33.4,275.99
2017/6/12,7.09,329.6,1162.98
2017/6/13,10.33,235.15,11584.71
2017/6/13,0.52,32.13,266.73
